Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Bulgaria,"2,560",156,242,"1,397",710,50,5
Burkina Faso,702,37,11,266,189,196,3
Burma,"2,263",460,36,691,112,964, - 
Burundi,410,8,11,46,41,303,1
Cabo Verde,"2,218","1,068",3,"1,140",3,3,1
Cambodia,"2,982",454,65,"2,143",280,34,6
Cameroon,"4,728",457,76,"1,868","1,566",753,8
Canada,"19,349","1,672","8,901","8,215",276,107,178
Cayman Islands,115,20,7,82, - ,6, - 
Central African Republic,66, - , D ,22, D ,39, - 
Chad,197,5,4,23,7,158, - 
Chile,"1,711",99,386,"1,152",5,50,19
China,"77,658","16,496","18,077","30,456",35,"12,399",195
Colombia,"16,830","2,791","1,132","12,162",10,607,128
Democratic Republic of the Congo,"4,115",187,19,802,"2,691",416, - 
Republic of Congo,292,4,20,89,30,147,2
Costa Rica,"2,295",165,264,"1,774",5,56,31
Cote d'Ivoire,"1,420",117,16,687,333,244,23
Croatia,348,14,58,221,22,33, - 
Cuba,"66,120","4,251",12,"4,402",523,"56,925",7
Curacao,37, D ,8,23, - , D , - 
Cyprus,160,16,26,91,20,7, - 
Czechia,637,11,147,435,38,4,2
Czechoslovakia,81, D ,32,41, - , D ,4
Denmark,562,19,268,241,26,6,2
Djibouti,"3,232",832,8,"2,040",33,318,1
Dominica,277,143, D ,125,4, D , - 
Dominican Republic,"60,613","28,163",350,"31,836", - ,114,150
Ecuador,"10,779","2,999",669,"5,945",4,630,532
Egypt,"13,367","1,125",816,"4,419","3,341","3,646",20
El Salvador,"21,268","6,402","1,825","11,052", - ,882,"1,107"
Equatorial Guinea,25, - , - ,16,4,5, - 
Eritrea,924,25,20,344,26,508,1
Estonia,195, D ,31,136,17, D , - 
Ethiopia,"13,699","1,745",140,"4,868","1,950","4,984",12
Fiji,797,270,7,312,174,33,1
Finland,512,19,221,221,47, D , D 
France,"5,473",256,"2,507","2,350",311,38,11
French Polynesia,22, - , - , D , D , - , - 
Gabon,180, D , D ,108,11,54,1
Gambia,"1,238",102,17,839,18,248,14
Georgia,"1,488",133,59,837,398,59,2
Germany,"5,895",268,"1,849","3,321",375,55,27
Ghana,"6,920","1,139",246,"4,862",454,204,15
Greece,"1,664",124,306,"1,007",209,17,1
Grenada,564,74,36,442, D , D ,7
Guatemala,"12,548","2,408","1,519","6,176",11,"1,129","1,305"
Guinea,"1,447",123,14,705,221,363,21
Guinea-Bissau,30,4, - ,23, - ,3, - 
Guyana,"4,909","2,772",27,"2,056", D , D ,32
Haiti,"23,185","8,727",150,"13,310",4,910,84
Honduras,"12,996","2,248","1,298","8,181",23,449,797
Hong Kong,"2,982","1,317",537,"1,048",60,18,2
Hungary,999,23,236,636,88,15,1
Iceland,99,6,41,52, - , - , - 
India,"61,691","17,358","19,190","23,464",51,"1,264",364
Indonesia,"2,014",173,330,"1,237",32,213,29
Iran,"9,596","2,185","1,101","2,837","2,649",817,7
Iraq,"12,021",168,33,940,69,"8,868","1,943"
Ireland,"1,895",57,805,973,53, D , D 
Israel,"4,652",249,"1,893","2,249",182,68,11
Italy,"4,385",247,"1,250","2,272",351,254,11
Jamaica,"22,833","5,642",774,"16,309", - ,56,52
Japan,"5,709",199,"1,860","3,444",176,19,11
Jordan,"7,345","1,536",327,"3,359",105,"1,968",50
Kazakhstan,"1,085",43,93,512,286,151, - 
Kenya,"8,594",446,355,"3,120","1,009","3,635",29
North Korea,22, D , - , D , - , - , - 
South Korea,"21,307","1,192","12,891","7,154",33,18,19
Kosovo,984,111,22,561,178,111,1
Kuwait,"1,020",132,158,475,43,208,4
Kyrgyzstan,793,33,29,281,193,256,1
Laos,812,87,8,697, - ,19,1
Latvia,366,34,48,262,19, D , D 
Lebanon,"3,573",764,276,"1,626",36,864,7
Lesotho,20, D , - ,14, - , D , D 
Liberia,"3,545",319,36,"1,541","1,407",239,3
Libya,424,13,44,273,46,44,4
Lithuania,660,39,46,454,116, D , D 
Luxembourg,65, - ,48,12, D , D , - 
Macau,127,53,30,41,3, - , - 
Macedonia,"1,213",192,33,710,252,22,4
Madagascar,72, D , D ,41,21, - , - 
Malawi,293,10,19,107,4,152,1
Malaysia,"11,747",345,536,"1,416",189,"9,241",20
Maldives,17, D ,4,7, - , D , - 
Mali,613,39,23,323,20,189,19
Malta,478, D , D ,27, D ,443, - 
Marshall Islands,34, D , D , D , - , D , D 
Mauritania,291,8,14,117,13,138,1
Mauritius,80,4,26,42,8, - , - 
Mexico,"172,726","34,541","6,127","118,619",23,"1,091","12,325"
Moldova,"2,740",138,64,780,"1,306",451,1
Monaco,14, D ,8, D , - , - , - 
Mongolia,730,26,109,342,131,107,15
Montenegro,374,97,10,247,6,11,3
Montserrat,12, D , - ,6, D , - , - 
Morocco,"4,447",416,91,"2,894",998,39,9
Mozambique,187,3,7,37, - ,140, - 
Namibia,192, D ,11,31, D ,147, - 
Nepal,"16,704",970,"1,305","2,955","3,147","8,298",29
Netherlands,"1,550",71,669,728,63,14,5
Netherlands Antilles,20, - ,7,13, - , - , - 
New Caledonia,13,5,5,3, - , - , - 
New Zealand,939,84,288,471,95, - ,1
Nicaragua,"3,397",756,70,"2,343",12,121,95
Niger,110,7,14,82,7, - , - 
Nigeria,"13,915","2,229",783,"10,675",36,160,32
Norway,404,20,116,251,11,4,2
Oman,219,34,54,67,31,27,6
Pakistan,"18,645","6,917","1,693","9,108",13,878,36
Palau,17, - , - ,17, - , - , - 
Panama,"1,130",169,122,800,11,22,6
Papua New Guinea,20, D , D ,10,3,4, - 
Paraguay,400,25,32,322, - ,17,4
Peru,"10,519","2,604",402,"7,154",4,139,216
Philippines,"50,609","14,419","6,505","29,264",7,14,400
Poland,"5,287",845,648,"3,392",358,11,33
Portugal,"1,017",84,177,714,15,19,8
Qatar,653,79,136,233,161,44, - 
Romania,"3,322",251,410,"2,107",353,197,4
Russia,"9,280",585,"1,548","4,638","1,803",688,18
Rwanda,"2,274",18,13,109,284,"1,847",3
Saint Kitts and Nevis,243,63,3,177, - , - , - 
Saint Lucia,766,106,30,617, D , D ,10
Saint Vincent and the Grenadines,392,68,27,291, D , D , D 
Samoa,189, D , D ,185, - , - , - 
Saudi Arabia,"2,812",382,409,"1,276",504,239,2
Senegal,"1,553",143,48,"1,096",119,105,42
Serbia,"1,343",115,100,867,240,20,1
Serbia and Montenegro,156,5,27,85, - ,35,4
Seychelles,18, D , D ,9, - , - , - 
Sierra Leone,"1,398",109,9,872,312,93,3
Singapore,"1,728",124,"1,125",435,27,13,4
Sint Maarten,86,19,10,57, - , - , - 
Slovakia,581,19,74,317,24,146,1
Slovenia,110,6,26,69,6, D , D 
Somalia,660,15,4,167,23,451, - 
South Africa,"3,441",148,771,"1,479",329,705,9
South Sudan,67, D , - ,47,13, D , - 
Soviet Union (former),571,16,13,498,4,37,3
Spain,"4,018",234,"1,395","1,598",197,588,6
Sri Lanka,"1,730",228,382,572,255,283,10
Sudan,"2,200",107,21,654,"1,007",410,1
Suriname,130,29,4,92, D , D , - 
Swaziland,28, D , D ,19,5, - , - 
Sweden,"1,325",74,498,676,56,9,12
Switzerland,"1,090",41,578,403,50,17,1
Syria,"3,800",660,160,"1,146",50,"1,774",10
Taiwan,"5,062",862,"1,997","2,062",131, D , D 
Tajikistan,527,19,44,161,246,57, - 
Tanzania,906,47,61,416,28,350,4
Thailand,"10,296",285,381,"3,586",32,"5,931",81
Togo,"1,898",193,7,888,705,102,3
Tonga,255,37,5,210, D , - , D 
Trinidad and Tobago,"3,448",596,232,"2,558",16,15,31
Tunisia,570,17,41,335,58,117,2
Turkey,"8,635",248,"1,059","1,977","1,018","4,281",52
Turkmenistan,186,13,21,82,59,11, - 
Turks and Caicos Islands,56, D ,9,37, - , D , - 
Uganda,"2,938",83,82,745,149,"1,865",14
Ukraine,"10,153",951,800,"5,333","1,829","1,222",18
United Arab Emirates,"3,051",506,751,925,374,438,57
United Kingdom,"14,887",918,"6,294","7,345",257,37,36
Uruguay,911,16,96,737,3,32,27
Uzbekistan,"4,138",550,79,823,"2,472",203,11
Venezuela,"10,590",841,"2,333","5,543",679,"1,142",52
Vietnam,"40,412","21,277","1,121","17,893", - ,63,58
"Virgin Islands, British",82,20,15,47, - , - , - 
Yemen,"7,447","2,504",7,"4,612",206,116,2
Zambia,594,25,54,282,14,218,1
Zimbabwe,700,57,88,344,47,157,7
All other countries 1,50,2,6,33,6,3, - 
Unknown,"22,726","4,713","2,058","11,875",987,"1,126","1,967"
